epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,3880.06,1.77536,0.86392,1.08505,0.6774,0.46946,0.51905,0.27315,1.84999,0.73903,1.02381,0.00043075,0.00043075,0.00043075
117,3912.6,1.76574,0.85668,1.08999,0.68035,0.46581,0.47851,0.26019,1.82597,0.72925,1.01959,0.0004258,0.0004258,0.0004258
118,3945.09,1.74418,0.84914,1.08378,0.93299,0.45544,0.55723,0.30948,1.83799,0.72443,1.02227,0.00042085,0.00042085,0.00042085
119,3979.19,1.75124,0.88037,1.09982,0.66276,0.70974,0.46923,0.23119,1.83409,0.72723,1.02103,0.0004159,0.0004159,0.0004159
120,4012.91,1.7515,0.85412,1.0876,0.70245,0.7258,0.54569,0.29657,1.83684,0.7333,1.02074,0.00041095,0.00041095,0.00041095
121,4045.24,1.75418,0.8507,1.08395,0.6364,0.47506,0.47496,0.25378,1.83857,0.7288,1.02253,0.000406,0.000406,0.000406
122,4078.87,1.74418,0.83915,1.08403,0.74511,0.7146,0.54612,0.3077,1.83472,0.72285,1.02118,0.00040105,0.00040105,0.00040105
123,4110.96,1.75197,0.84561,1.0884,0.9335,0.4615,0.49367,0.25334,1.84156,0.72531,1.02392,0.0003961,0.0003961,0.0003961
124,4142.98,1.73908,0.83902,1.07965,0.62146,0.49169,0.51942,0.28329,1.84372,0.72453,1.02147,0.00039115,0.00039115,0.00039115
125,4176.82,1.74351,0.83547,1.07346,0.68484,0.73625,0.5653,0.2996,1.84404,0.73016,1.0248,0.0003862,0.0003862,0.0003862
126,4209.07,1.73925,0.84212,1.08456,0.77864,0.69785,0.59676,0.31961,1.8313,0.72502,1.01993,0.00038125,0.00038125,0.00038125
127,4242.65,1.75924,0.85339,1.09215,0.62895,0.73131,0.54047,0.30716,1.82646,0.72438,1.01841,0.0003763,0.0003763,0.0003763
128,4275.86,1.72928,0.82295,1.07386,0.74848,0.71116,0.56472,0.31084,1.84022,0.72442,1.02226,0.00037135,0.00037135,0.00037135
129,4308.24,1.74157,0.84745,1.08225,0.73433,0.70376,0.5704,0.28933,1.82595,0.72561,1.0174,0.0003664,0.0003664,0.0003664
130,4340.38,1.72862,0.83667,1.0799,0.79659,0.72011,0.69877,0.40181,1.82499,0.72753,1.01979,0.00036145,0.00036145,0.00036145
131,4373.69,1.73704,0.82527,1.08173,0.76343,0.72524,0.59188,0.33335,1.8257,0.72524,1.01786,0.0003565,0.0003565,0.0003565
132,4405.54,1.73253,0.83283,1.0828,0.64774,0.54943,0.5496,0.31393,1.8228,0.72306,1.01572,0.00035155,0.00035155,0.00035155
133,4437.91,1.72692,0.83233,1.08487,0.88113,0.69063,0.70429,0.41314,1.83145,0.72338,1.0203,0.0003466,0.0003466,0.0003466
